,0,1
"(11, 5)",0.22937835863687067,0.5100470997422106
"(5, 0)",-0.010242950130377876,0.5425335498463072
"(10, -2)",0.0,0.6345091884081538
"(9, 1)",0.7301048408555355,0.23615622810842737
"(8, 2)",0.17238351134628577,0.752489590945237
"(17, -5)",0.8410483117173937,0.31822023137896277
"(16, -8)",0.33949391778935945,0.8058910398954797
"(16, -9)",0.7099964201336926,0.031269170834521104
"(15, -11)",0.27171877017467944,0.6623038294085004
"(15, -12)",0.1947301319606623,0.6996401953296785
"(15, -5)",0.772435494856061,0.6004856439024108
"(14, -8)",0.743399649994839,0.20941571232890888
"(12, -8)",0.7025789817921211,0.5389806064759723
"(12, -7)",0.39820149358850454,0.710299445589954
"(11, -5)",0.7042967257115119,0.38905815950649925
"(10, -4)",0.7201774876531214,0.5605124657721838
"(10, -3)",0.668293642114564,0.40825257109359847
"(14, 4)",0.20798307547564243,0.463273518579804
"(14, 3)",0.5609358574872196,0.24549481970625897
"(13, 5)",0.4651324397223021,0.09073907666480846
"(13, 6)",0.4719458645345297,-0.14636615462913052
"(12, 7)",0.5089031104742443,0.2036132516347641
"(11, 8)",0.5561526120522299,0.125642219578073
"(10, 8)",0.5825735094054686,0.411933970956907
"(10, 7)",0.6061467864592516,0.29080600525330047
"(4, 6)",0.4288790291733097,-0.40951000000000004
"(4, 5)",0.5727965131097859,0.16544972781170955
"(12, 4)",0.10519018536188772,0.6210149831452022
"(12, 5)",0.12210351358832516,0.5363862394959185
"(11, 6)",0.5920716691117354,0.23620535324086067
"(11, 7)",0.4673150353606838,0.16678541124310628
"(9, 8)",0.4440024997763775,0.2686213106458996
"(9, 7)",0.4548689390708447,0.09388368001018935
"(17, -10)",0.7008925137908967,0.15931460319644972
"(16, -13)",0.6792540756750849,0.33559746630836684
"(14, -11)",0.7414994722153834,0.3548220752498809
"(14, -10)",0.742557013535314,0.2764259833477358
"(10, -6)",0.38507082092927547,0.08424367809393388
"(10, -5)",0.5393608039051108,0.15450897570106634
"(9, -5)",0.32065157776041403,0.02037414241578961
"(7, -6)",-0.06089969092303706,-0.0695408817876104
"(6, -8)",-0.3811836042843286,-0.36046421714182686
"(15, 3)",0.6486735999618533,0.21386334560795853
"(14, 5)",0.3089205837626832,0.12964267916063546
"(11, 11)",0.04886557417661115,0.5098990103901956
"(10, 13)",0.5358677315366128,0.13550055642263553
"(6, 11)",-0.7732125316396116,-0.7487908875238526
"(14, -12)",0.7516786319237362,0.18206146230984976
"(11, -4)",0.6988100566135846,0.28824163147529347
"(7, 8)",-0.12665460950074456,-0.13463332696295782
